Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
Nd0.5Sr0.5MnO3,,50.0,,,,,,,150μB,,,,10.1016/j.jmmm.2006.10.217,TRUE
Fe3O4,858.15,,,,,,,43-62,,32-58,,,10.1016/j.jmmm.2017.05.018,TRUE
Gd3Pt23Si11,42.0,,,-,,{'a': '16.8249(7)'},3,,7.00±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,TRUE
Tb3Pt23Si11,25.0,,,-,,{'a': '16.8181(8)'},3,,5.86±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,TRUE
Dy3Pt23Si11,15.99,,,-,,{'a': '16.814(1)'},3,,7.08±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,TRUE
Ho3Pt23Si11,09.07,,,-,,{'a': '16.8015(5)'},3,,7.06±0.19 μB/R,,,,10.1016/j.jmmm.2014.01.010,TRUE
Er3Pt23Si11,3.39,,,-,,{'a': '16.7979(5)'},3,,4.79±0.23 μB/R,,,,10.1016/j.jmmm.2014.01.010,TRUE
MnP,291.5,47.0,,,-,"{'a': '5.916', 'b': '5.260', 'c': '3.173'}",,,,,,,10.1016/j.jmmm.2006.01.195,TRUE
Nb0.975Fe2.025,63.0,,84,14,,,,5502,0.378 μB/f.u.,,,,10.1016/j.jmmm.2018.01.055,TRUE
NbFe2,,18.5,,,,,,,,,,,10.1016/j.jmmm.2018.01.055,FALSE
LaMn0.5Fe0.5O3,380.0,,,,,,,,,,,,10.1016/j.jmmm.2018.08.070,TRUE
Mn1.2Sn0.5Ga0.5,306.0,,,,1.75-,"{'a': '4.304', 'c': '5.346'}",63,210,1.07 μB/Mn,64.1,,,10.1016/j.jmmm.2018.09.123,TRUE
Mn1.5Sn0.5Ga0.5,284.0,,,,1.75-,"{'a': '4.322', 'c': '5.375'}",63,230,,,,,10.1016/j.jmmm.2018.09.123,TRUE
Mn1.7Sn0.5Ga0.5,283.0,,,,1.75-,"{'a': '4.331', 'c': '5.379'}",63,290,,,,,10.1016/j.jmmm.2018.09.123,TRUE
Mn2Sn0.5Ga0.5,262.0,,,,1.75-,"{'a': '4.340', 'c': '5.370'}",63,590,0.85 μB/Mn,46.7,,,10.1016/j.jmmm.2018.09.123,TRUE
YbNi2,10.5,,,,,,,,,,,,10.1016/j.jmmm.2019.165815,FALSE
La0.91Mn0.95O3,252.0,,,,,,,,,,,,10.1016/j.jmmm.2003.12.1082,TRUE
