,doi,sentence,composition,unit,value,K,Am^2/kg,°C,kA/m,mT,emu cm^−3,emu/cm^3,emu/g,A/m,A m^2/kg,Oe,µ_B/f.u.,kOe
0,10.1016/j.jallcom.2020.158450,12,FeCrCoNi-,K,420,420,,,,,,,,,,,,
1,10.1016/j.jallcom.2020.158450,12,Al_0.5CoCrFeNi,K,215,215,,,,,,,,,,,,
2,10.1016/j.jallcom.2020.158450,23,AlCoCrFeMnNi,Am^2/kg,60,,60,,,,,,,,,,,
3,10.1016/j.jallcom.2020.158450,26,AlCoCrFeMnNi,°C,550,,,550,,,,,,,,,,
4,10.1016/j.jallcom.2020.158450,95,AlCoCrFeNi),kA/m,348,,,,348,,,,,,,,,
5,10.1016/j.jallcom.2020.158450,95,AlCoCrFeMnNi),kA/m,587,,,,587,,,,,,,,,
6,10.1016/j.jallcom.2020.158450,144,AlCoCrFeNi,kA/m,348,,,,348,,,,,,,,,
7,10.1016/j.jallcom.2020.158450,144,AlCoCrFeMnNi,kA/m,587,,,,587,,,,,,,,,
8,10.1016/j.jmmm.2011.03.003,136,Pr_58Fe_24Al_18,mT,195.6,,,,,195.6,,,,,,,,
9,10.1016/j.jmmm.2011.03.003,138,Nd_60Fe_30Al_10,mT,210.0,,,,,210.0,,,,,,,,
10,10.1016/j.jmmm.2011.03.003,138,Nd_60Fe_20Co_10Al_10,mT,210.0,,,,,210.0,,,,,,,,
11,10.1016/j.jmmm.2011.03.003,138,Pr_58Fe_24Al_18),mT,358,,,,,358,,,,,,,,
12,10.1016/j.jmmm.2011.03.003,138,Nd_60Fe_30Al_10,mT,210.0,,,,,210.0,,,,,,,,
13,10.1016/j.jmmm.2011.03.003,138,Nd_60Fe_20Co_10Al_10,mT,210.0,,,,,210.0,,,,,,,,
14,10.1016/j.jmmm.2011.03.003,140,Nd_60Fe_20Co_10Al_10,mT,300,,,,,300,,,,,,,,
15,10.1016/j.jmmm.2011.03.003,252,Nd_60Fe_30Al_10,mT,358,,,,,358,,,,,,,,
16,10.1016/j.jmmm.2011.03.003,252,Nd_60Fe_20Co_10Al_10,mT,285,,,,,285,,,,,,,,
17,10.1016/j.jmmm.2011.03.003,252,Pr_58Fe_24Al_18,mT,265,,,,,265,,,,,,,,
18,10.1016/j.jmmm.2011.03.003,253,Nd_60Fe_30Al_10,mT,437.3,,,,,437.3,,,,,,,,
19,10.1016/j.jmmm.2011.03.003,253,Nd_60Fe_30Al_10,mT,269.8,,,,,269.8,,,,,,,,
20,10.1016/j.jmmm.2011.03.003,253,Nd_60Fe_20Co_10Al_10,mT,465.2,,,,,465.2,,,,,,,,
21,10.1016/j.jmmm.2011.03.003,253,Nd_60Fe_20Co_10Al_10,mT,210.0,,,,,210.0,,,,,,,,
22,10.1016/j.jmmm.2011.03.003,253,Pr_58Fe_24Al_18,mT,363.0,,,,,363.0,,,,,,,,
23,10.1016/j.jmmm.2011.03.003,253,Pr_58Fe_24Al_18,mT,195.6,,,,,195.6,,,,,,,,
24,10.1016/S0304-8853(02)00439-0,24,ThFe_11C_x,K,10,10,,,,,,,,,,,,
25,10.1016/S0304-8853(02)00439-0,60,ThFe_11C_1.5,K,419,419,,,,,,,,,,,,
26,10.1016/j.materresbull.2018.12.005,8,TbErIG,K,14,14,,,,,,,,,,,,
27,10.1016/j.materresbull.2018.12.005,181,TbErIG,K,14,14,,,,,,,,,,,,
28,10.1016/j.materresbull.2018.12.005,197,TbErIG,emu cm^−3,4,,,,,,4,,,,,,,
29,10.1016/j.materresbull.2018.12.005,198,TbErIG,emu cm^−3,9,,,,,,9,,,,,,,
30,10.1016/j.materresbull.2018.12.005,203,['TbErIG'],emu/cm^3,155,,,,,,,155,,,,,,
31,10.1016/j.materresbull.2018.12.005,203,YIG(O_2),emu/cm^3,63,,,,,,,63,,,,,,
32,10.1016/j.materresbull.2018.12.005,203,YIG(A,emu/cm^3,45,,,,,,,45,,,,,,
33,10.1016/j.materresbull.2018.12.005,203,TbErIG,emu/cm^3,83,,,,,,,83,,,,,,
34,10.1016/j.materresbull.2018.12.005,203,TbErIG(O_2),emu/cm^3,31,,,,,,,31,,,,,,
35,10.1016/j.materresbull.2018.12.005,203,TbErIG(A,emu/cm^3,30,,,,,,,30,,,,,,
